0;0;0;0;land;false;unknown;0
1;162;236;202;land;false;plains;1
2;48;237;225;land;false;plains;1
3;199;202;238;land;false;plains;1
4;229;246;155;land;false;plains;1
5;248;223;86;land;false;plains;1
6;156;238;164;land;false;plains;1
7;245;110;190;land;false;plains;1
8;165;114;241;land;false;plains;1
9;129;252;192;land;false;plains;1
10;194;139;231;land;false;plains;1
11;115;244;159;land;false;plains;1
12;236;173;192;land;false;plains;1
13;250;96;190;land;false;plains;1
14;147;230;174;land;false;plains;1
15;234;172;196;land;true;plains;1
16;90;223;232;land;false;plains;1
17;38;242;246;land;false;plains;1
18;182;228;227;land;false;plains;1
19;212;227;158;land;false;plains;1
20;246;16;253;land;true;plains;1
21;185;202;244;land;false;plains;1
22;84;193;234;land;false;plains;1
23;236;158;208;land;false;plains;1
24;133;155;219;land;false;plains;1
25;147;194;231;land;false;plains;1
26;159;117;227;land;false;plains;1
27;212;125;209;land;false;plains;1
28;210;75;240;land;false;plains;1
29;250;80;223;land;false;plains;1
30;244;235;220;land;false;plains;1
31;233;233;68;land;false;plains;1
32;245;254;225;land;false;plains;1
33;172;222;195;land;false;plains;1
34;251;168;121;land;false;plains;1
35;254;192;102;land;false;plains;1
36;161;241;116;land;true;plains;1
37;131;238;243;land;true;plains;1
38;215;244;214;land;false;plains;1
39;223;209;243;land;false;plains;1
40;212;228;179;land;false;plains;1
41;192;248;84;land;false;plains;1
42;219;252;132;land;false;plains;1
43;229;221;57;land;true;plains;1
44;221;245;210;land;false;plains;1
45;187;196;251;land;false;plains;1
46;220;221;197;land;false;plains;1
47;211;190;159;land;false;plains;1
48;160;205;217;land;false;plains;1
49;213;135;252;land;false;plains;1
50;165;186;156;land;true;plains;1
51;230;218;100;land;false;plains;1
52;175;133;207;land;true;plains;1
53;241;44;248;land;true;plains;1
54;127;185;199;land;false;plains;1
55;216;224;143;land;false;plains;1
56;226;53;241;land;false;plains;1
57;240;205;175;land;false;plains;1
58;183;236;246;land;true;plains;1
59;199;100;250;land;false;plains;1
60;134;208;216;land;false;plains;1
61;213;194;150;land;false;plains;1
62;237;188;225;land;true;plains;1
63;210;251;94;land;false;plains;1
64;219;214;180;land;false;plains;1
65;219;185;254;land;false;plains;1
66;163;243;138;land;false;plains;1
67;39;235;233;land;false;plains;1
68;251;158;205;land;false;plains;1
69;237;175;100;land;false;plains;1
70;238;22;245;land;false;plains;1
71;206;142;206;land;true;plains;1
72;215;211;178;land;false;plains;1
73;233;214;127;land;false;plains;1
74;223;253;37;land;false;plains;1
75;178;211;140;land;false;plains;1
76;245;192;207;land;false;plains;1
77;82;253;251;land;false;plains;1
78;248;168;174;land;false;plains;1
79;203;216;99;land;false;plains;1
80;234;47;220;land;false;plains;1
81;246;206;186;land;false;plains;1
82;79;246;188;land;false;plains;1
83;152;222;181;land;false;plains;1
84;155;242;183;land;false;plains;1
85;83;242;218;land;false;plains;1
86;244;225;76;land;false;plains;1
87;254;62;217;land;false;plains;1
88;253;239;147;land;false;plains;1
89;142;210;154;land;true;plains;1
90;220;226;165;land;false;plains;1
91;234;186;141;land;false;plains;1
92;229;125;160;land;true;plains;1
93;137;254;215;land;false;plains;1
94;116;222;200;land;true;plains;1
95;82;244;222;land;false;plains;1
96;179;95;231;land;false;plains;1
97;244;222;178;land;false;plains;1
98;87;211;240;land;false;plains;1
99;42;253;251;land;true;plains;1
100;208;230;252;land;false;plains;1
101;99;218;246;land;false;plains;1
102;147;153;209;land;false;plains;1
103;178;241;101;land;false;plains;1
104;209;161;166;land;false;plains;1
105;219;149;212;land;true;plains;1
106;181;94;234;land;false;plains;1
107;220;178;141;land;false;plains;1
108;221;227;60;land;false;plains;1
